000eb8b7bafc14e5d48a270346accfd7,4.75,4.50,4.50,3.75,2.50
002ae27b71edc2c5b762590a763e9fff,4.10,2.65,2.35,2.70,3.80
00348d9f4b76f6405e68c68e38681a16,4.85,4.30,4.70,3.15,2.95
00473819e00880ca0d2e29a921161372,4.55,2.65,2.70,3.65,2.50
00a771d75ab9dde5cd1637130bd62f73,4.40,3.70,3.60,4.15,2.30
00c30fd7590539ea75753e61c1a19ecf,3.50,4.40,4.17,4.50,2.67
00c61e48e7758ac27b73aca5919d304f,4.00,2.65,3.45,3.25,2.80
00c69df4ec41f61da30ed2874b9fbfaf,4.25,3.25,3.30,3.30,3.45
00fb9f78e2ea6d7e27da439fe7e8e6d0,3.75,3.55,3.85,3.30,2.20
010978f6b2ffe30f57ae8cd3b4ca1079,3.80,2.85,3.55,3.60,2.45
01466b0ad783c2418dfeb9b6d0dfdcd1,4.30,2.85,3.60,3.45,3.35
014ada5f85eb6155b64ad19426df8b74,4.15,4.00,2.60,3.70,2.80
014edea57e6fc1fbe482ab3c4a2bf700,2.90,2.30,2.40,3.50,3.00
017580c4672744715e5df3b116338829,4.45,3.75,3.20,3.70,1.95
01cdf19df23e84c4f7286817e1760910,5.00,2.00,4.25,4.75,1.75
01dfec809a2894b0d4c23e6468144551,4.30,2.15,2.25,3.80,2.20
01ef91ff2b6cfcde8e4c69b34f6b008a,3.95,2.80,1.75,4.20,4.40
021c373d796ea52cb6c795ee48e856aa,4.75,3.55,1.70,3.75,2.90
02236c735799b92ed7cdbedd7fe5aa5d,3.00,3.75,3.25,4.75,1.25
0242c256b80be0e1e213864f47329517,3.40,3.21,3.05,2.45,1.90
0242e3d50b1dd4c5a18e1ca6fbb11666,4.55,4.25,4.40,3.65,1.60
026b93c18c3abac7281aa0b7e572190e,4.45,2.00,2.75,3.35,2.70
02a25d631e4b3053f8290842a0305861,4.05,3.40,2.55,3.65,3.00
02d54745ab17388754140f7e77ed7b2a,4.40,2.95,3.75,2.65,2.85
02eec8b1d6abdedf5508a359e4769c47,4.35,2.65,3.55,3.80,2.25
03484c21e58225af1a6502f844729a61,3.40,3.60,2.15,4.45,3.65
03604ee565447d2a4b472a94c6978151,4.25,3.30,3.25,4.10,3.45
037705ad3f38c0460d0f9190613675ee,3.30,3.22,3.50,3.70,2.40
037a081fcc70a0ebd749b65bdcd0aece,4.70,3.35,3.15,3.20,3.60
03877abd27cef24d03f0b786daf81a13,4.20,2.65,2.85,2.00,3.45
0430d964df24fd08546474685368c51b,4.05,3.10,3.50,3.37,2.45
0432e44e99df268acdf7d9f68651282b,4.10,1.90,2.65,3.30,3.65
046d54acb4599b84ad7a305ee325e22f,4.25,4.55,3.00,3.40,2.00
046f391be2635a2f8d384a1dea089772,4.55,3.20,3.80,3.00,2.60
046f6ca810fb043193e6859ebb7cb648,4.50,4.33,5.00,4.00,1.75
04ad6f320fd033268209d7934030133f,3.05,4.00,2.11,2.00,2.42
04c0fe4ea3a824c1f19a53f1426f11e8,4.15,2.45,3.75,3.80,2.40
04d22dcd2d13ba4f36bd73d91c3a0f69,3.50,3.00,2.75,4.25,2.00
